EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,STEVEN,KING,SKING,515.123.4567,17-Jun-03,AD_PRES,24000,,,90
101,NEENA,KOCHHAR,NKOCHHAR,515.123.4568,21-Sep-05,AD_VP,17000,,100,90
102,LEX,DE HAAN,LDEHAAN,515.123.4569,13-Jan-01,AD_VP,17000,,100,90
103,ALEXANDER,HUNOLD,AHUNOLD,590.423.4567,3-Jan-06,IT_PROG,9000,,102,60
104,BRUCE,ERNST,BERNST,590.423.4568,21-May-07,IT_PROG,6000,,103,60
105,DAVID,AUSTIN,DAUSTIN,590.423.4569,25-Jun-05,IT_PROG,4800,,103,60
106,VALLI,PATABALLA,VPATABAL,590.423.4560,5-Feb-06,IT_PROG,4800,,103,60
107,DIANA,LORENTZ,DLORENTZ,590.423.5567,7-Feb-07,IT_PROG,4200,,103,60
108,NANCY,GREENBERG,NGREENBE,515.124.4569,17-Aug-02,FI_MGR,12008,,101,100
109,DANIEL,FAVIET,DFAVIET,515.124.4169,16-Aug-02,FI_ACCOUNT,9000,,108,100
110,JOHN,CHEN,JCHEN,515.124.4269,28-Sep-05,FI_ACCOUNT,8200,,108,100
111,ISMAEL,SCIARRA,ISCIARRA,515.124.4369,30-Sep-05,FI_ACCOUNT,7700,,108,100
112,JOSE MANUEL,URMAN,JMURMAN,515.124.4469,7-Mar-06,FI_ACCOUNT,7800,,108,100
113,LUIS,POPP,LPOPP,515.124.4567,7-Dec-07,FI_ACCOUNT,6900,,108,100
114,DEN,RAPHAELY,DRAPHEAL,515.127.4561,7-Dec-02,PU_MAN,11000,,100,30
115,ALEXANDER,KHOO,AKHOO,515.127.4562,18-May-03,PU_CLERK,3100,,114,30
116,SHELLI,BAIDA,SBAIDA,515.127.4563,24-Dec-05,PU_CLERK,2900,,114,30
117,SIGAL,TOBIAS,STOBIAS,515.127.4564,24-Jul-05,PU_CLERK,2800,,114,30
118,GUY,HIMURO,GHIMURO,515.127.4565,15-Nov-06,PU_CLERK,2600,,114,30
119,KAREN,COLMENARES,KCOLMENA,515.127.4566,10-Aug-07,PU_CLERK,2500,,114,30
120,MATTHEW,WEISS,MWEISS,650.123.1234,18-Jul-04,ST_MAN,8000,,100,50
121,ADAM,FRIPP,AFRIPP,650.123.2234,10-Apr-05,ST_MAN,8200,,100,50
122,PAYAM,KAUFLING,PKAUFLIN,650.123.3234,1-May-03,ST_MAN,7900,,100,50
123,SHANTA,VOLLMAN,SVOLLMAN,650.123.4234,10-Oct-05,ST_MAN,6500,,100,50
124,KEVIN,MOURGOS,KMOURGOS,650.123.5234,16-Nov-07,ST_MAN,5800,,100,50
125,JULIA,NAYER,JNAYER,650.124.1214,16-Jul-05,ST_CLERK,3200,,120,50
126,IRENE,MIKKILINENI,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,2700,,120,50
127,JAMES,LANDRY,JLANDRY,650.124.1334,14-Jan-07,ST_CLERK,2400,,120,50
128,STEVEN,MARKLE,SMARKLE,650.124.1434,8-Mar-08,ST_CLERK,2200,,120,50
129,LAURA,BISSOT,LBISSOT,650.124.5234,20-Aug-05,ST_CLERK,3300,,121,50
130,MOZHE,ATKINSON,MATKINSO,650.124.6234,30-Oct-05,ST_CLERK,2800,,121,50
131,JAMES,MARLOW,JAMRLOW,650.124.7234,16-Feb-05,ST_CLERK,2500,,121,50
132,TJ,OLSON,TJOLSON,650.124.8234,10-Apr-07,ST_CLERK,2100,,121,50
133,JASON,MALLIN,JMALLIN,650.127.1934,14-Jun-04,ST_CLERK,3300,,122,50
134,MICHAEL,ROGERS,MROGERS,650.127.1834,26-Aug-06,ST_CLERK,2900,,122,50
135,KI,GEE,KGEE,650.127.1734,12-Dec-07,ST_CLERK,2400,,122,50
136,HAZEL,PHILTANKER,HPHILTAN,650.127.1634,6-Feb-08,ST_CLERK,2200,,122,50
137,RENSKE,LADWIG,RLADWIG,650.121.1234,14-Jul-03,ST_CLERK,3600,,123,50
138,STEPHEN,STILES,SSTILES,650.121.2034,26-Oct-05,ST_CLERK,3200,,123,50
139,JOHN,SEO,JSEO,650.121.2019,12-Feb-06,ST_CLERK,2700,,123,50
140,JOSHUA,PATEL,JPATEL,650.121.1834,6-Apr-06,ST_CLERK,2500,,123,50
141,TRENNA,RAJS,TRAJS,650.121.8009,17-Oct-03,ST_CLERK,3500,,124,50
142,CURTIS,DAVIES,CDAVIES,650.121.2994,29-Jan-05,ST_CLERK,3100,,124,50
143,RANDALL,MATOS,RMATOS,650.121.2874,15-Mar-06,ST_CLERK,2600,,124,50
144,PETER,VARGAS,PVARGAS,650.121.2004,9-Jul-06,ST_CLERK,2500,,124,50
145,JOHN,RUSSELL,JRUSSEL,011.44.1344.429268,1-Oct-04,SA_MAN,14000,0.4,100,80
146,KAREN,PARTNERS,KPARTNER,011.44.1344.467268,5-Jan-05,SA_MAN,13500,0.3,100,80
147,ALBERTO,ERRAZURIZ,AERRAZUR,011.44.1344.429278,10-Mar-05,SA_MAN,12000,0.3,100,80
148,GERALD,CAMBRAULT,GCAMBRAU,011.44.1344.619268,15-Oct-07,SA_MAN,11000,0.3,100,80
149,ELENI,ZLOTKEY,EZLOTKEY,011.44.1344.429018,29-Jan-08,SA_MAN,10500,0.2,100,80
150,PETER,TUCKER,PTUCKER,011.44.1344.129268,30-Jan-05,SA_REP,10000,0.3,145,80
151,DAVID,BERNSTEIN,DBERNSTE,011.44.1344.345268,24-Mar-05,SA_REP,9500,0.25,145,80
152,PETER,HALL,PHALL,011.44.1344.478968,20-Aug-05,SA_REP,9000,0.25,145,80
153,CHRISTOPHER,OLSEN,COLSEN,011.44.1344.498718,30-Mar-06,SA_REP,8000,0.2,145,80
154,NANETTE,CAMBRAULT,NCAMBRAU,011.44.1344.987668,9-Dec-06,SA_REP,7500,0.2,145,80
155,OLIVER,TUVAULT,OTUVAULT,011.44.1344.486508,23-Nov-07,SA_REP,7000,0.15,145,80
156,JANETTE,KING,JKING,011.44.1345.429268,30-Jan-04,SA_REP,10000,0.35,146,80
157,PATRICK,SULLY,PSULLY,011.44.1345.929268,4-Mar-04,SA_REP,9500,0.35,146,80
158,ALLAN,MCEWEN,AMCEWEN,011.44.1345.829268,1-Aug-04,SA_REP,9000,0.35,146,80
159,LINDSEY,SMITH,LSMITH,011.44.1345.729268,10-Mar-05,SA_REP,8000,0.3,146,80
160,LOUISE,DORAN,LDORAN,011.44.1345.629268,15-Dec-05,SA_REP,7500,0.3,146,80
161,SARATH,SEWALL,SSEWALL,011.44.1345.529268,3-Nov-06,SA_REP,7000,0.25,146,80
162,CLARA,VISHNEY,CVISHNEY,011.44.1346.129268,11-Nov-05,SA_REP,10500,0.25,147,80
163,DANIELLE,GREENE,DGREENE,011.44.1346.229268,19-Mar-07,SA_REP,9500,0.15,147,80
164,MATTEA,MARVINS,MMARVINS,011.44.1346.329268,24-Jan-08,SA_REP,7200,0.1,147,80
165,DAVID,LEE,DLEE,011.44.1346.529268,23-Feb-08,SA_REP,6800,0.1,147,80
166,SUNDAR,ANDE,SANDE,011.44.1346.629268,24-Mar-08,SA_REP,6400,0.1,147,80
167,AMIT,BANDA,ABANDA,011.44.1346.729268,21-Apr-08,SA_REP,6200,0.1,147,80
168,LISA,OZER,LOZER,011.44.1343.929268,11-Mar-05,SA_REP,11500,0.25,148,80
169,HARRISON,BLOOM,HBLOOM,011.44.1343.829268,23-Mar-06,SA_REP,10000,0.2,148,80
170,TAYLER,FOX,TFOX,011.44.1343.729268,24-Jan-06,SA_REP,9600,0.2,148,80
171,WILLIAM,SMITH,WSMITH,011.44.1343.629268,23-Feb-07,SA_REP,7400,0.15,148,80
172,ELIZABETH,BATES,EBATES,011.44.1343.529268,24-Mar-07,SA_REP,7300,0.15,148,80
173,SUNDITA,KUMAR,SKUMAR,011.44.1343.329268,21-Apr-08,SA_REP,6100,0.1,148,80
174,ELLEN,ABEL,EABEL,011.44.1644.429267,11-May-04,SA_REP,11000,0.3,149,80
175,ALYSSA,HUTTON,AHUTTON,011.44.1644.429266,19-Mar-05,SA_REP,8800,0.25,149,80
176,JONATHON,TAYLOR,JTAYLOR,011.44.1644.429265,24-Mar-06,SA_REP,8600,0.2,149,80
